dataset,operation,2xx_code,4xx_code,operation_id,method,path,normalized_operation
Genome-nexus,fetchEnsemblTranscriptsGET,200,,fetchEnsemblTranscriptsGET,GET,/ensembl/transcript,fetchensembltranscriptsget
Genome-nexus,fetchEnsemblTranscriptsByEnsemblFilterPOST,200,,fetchEnsemblTranscriptsByEnsemblFilterPOST,POST,/ensembl/transcript,fetchensembltranscriptsbyensemblfilterpost
Genome-nexus,fetchEnsemblTranscriptByTranscriptIdGET,200,,fetchEnsemblTranscriptByTranscriptIdGET,GET,/ensembl/transcript/{transcriptId},fetchensembltranscriptbytranscriptidget
Genome-nexus,fetchGeneXrefsGET,200,,fetchGeneXrefsGET,GET,/ensembl/xrefs,fetchgenexrefsget
Genome-nexus,fetchPdbHeaderPOST,200,,fetchPdbHeaderPOST,POST,/pdb/header,fetchpdbheaderpost
Genome-nexus,fetchPdbHeaderGET,200,,fetchPdbHeaderGET,GET,/pdb/header/{pdbId},fetchpdbheaderget
Genome-nexus,fetchPfamDomainsByPfamAccessionPOST,200,,fetchPfamDomainsByPfamAccessionPOST,POST,/pfam/domain,fetchpfamdomainsbypfamaccessionpost
Genome-nexus,fetchPfamDomainsByAccessionGET,200,,fetchPfamDomainsByAccessionGET,GET,/pfam/domain/{pfamAccession},fetchpfamdomainsbyaccessionget
Genome-nexus,fetchPostTranslationalModificationsGET,200,,fetchPostTranslationalModificationsGET,GET,/ptm/experimental,fetchposttranslationalmodificationsget
Genome-nexus,fetchPostTranslationalModificationsByPtmFilterPOST,200,,fetchPostTranslationalModificationsByPtmFilterPOST,POST,/ptm/experimental,fetchposttranslationalmodificationsbyptmfilterpost
Genome-nexus,fetchVersionGET,200,,fetchVersionGET,GET,/version,fetchversionget
GitLabBranch,GET /projects,200,400,,GET,/projects,get_projects
GitLabBranch,POST /projects,201,400,,POST,/projects,post_projects
GitLabBranch,GET /projects/{id}/repository/branches,200,,,GET,/projects/{id}/repository/branches,get_projects_id_repository_branches
GitLabBranch,POST /projects/{id}/repository/branches,201,,,POST,/projects/{id}/repository/branches,post_projects_id_repository_branches
GitLabBranch,GET /projects/{id}/repository/branches/{branch},200,,,GET,/projects/{id}/repository/branches/{branch},get_projects_id_repository_branches_branch
